timestamp,symbol,market_index,market_type,side,order_type,price,quantity,fee,slippage_bps,sl,tp,pnl,unrealized_pnl,status,duration_seconds,account_equity,leverage,sub_account_id,strategy_id,signal_confidence,signal_type,tx_signature,slot,block_time,oracle_price_at_entry,execution_latency_ms,bot_version,env
2025-10-16 02:53:20.706383+00:00,BTC-PERP,1,perp,BUY,,111138.17083484904,0.0010458743159695,,,111133.17083484904,0.0,,,,,,,,,,,2hr5dE53bcrPnage4WUzLzUbX6mWqjhWDa9JuNt8mJMy9ECoSPjwzpA6uhyZz9qj3efuTfGTXzqEiGtyhAEAeVBM,,,,,,
2025-10-16 12:03:32.032237+00:00,BTC-PERP,1,perp,SELL,,113674.10732071074,0.0010207258568799,,,116863.59013819406,105168.81980742188,,,,,,,,,,,DvV8vFs2DsaapKjTxsSiJRaMhohjcGanDjWscQCUBZTdghG3ANRjcBaWXadJaTuhy5AyHyLeWJWisWCR6dg8282,,,,,,
2025-10-16 12:14:34.369118+00:00,BTC-PERP,1,perp,CLOSE,,0.001,0.0,,,0.0,0.0,,,,,,,,,,,CLOSED_BY_BOT,,,,,,
2025-10-16 12:34:46.961351+00:00,BTC-PERP,1,perp,SELL,,111487.17414162678,0.0010408336509865,,,114326.68286314256,103915.15088425136,,,,,,,,,,,5EF1QbxUZRLUe4inV5dYM77NXWiBgHhhXNi9eVALSrbf5GSgu8QtMzfDNL9Q7LvhJywEVMSzEjGuG8JXFmTTdcMF,,,,,,
2025-10-16 12:55:58.544636+00:00,BTC-PERP,1,perp,CLOSE,,0.001,0.0,,,0.0,0.0,,,,,,,,,,,CLOSED_BY_BOT,,,,,,
2025-10-16 12:56:58.874413+00:00,BTC-PERP,1,perp,SELL,,110705.28221131249,0.0010481570638021,,,113469.58618467856,103333.80494900288,,,,,,,,,,,2dv7M3ZDS5rN4eQpKG6pYdDm4keKXssAKTjQVLyoRhoLixz4Vx4RFhK1XQN8xVkzxK4jf1F2wMk2egdc9sZFBnSX,,,,,,
2025-10-16 12:59:59.082190+00:00,BTC-PERP,1,perp,CLOSE,,0.001,0.0,,,0.0,0.0,,,,,,,,,,,CLOSED_BY_BOT,,,,,,
2025-10-16 13:24:16.519679+00:00,BTC-PERP,1,perp,SELL,,110326.40250859084,0.001051748408011,,,113116.1137618712,102887.17249984323,,,,,,,,,,,65RRP5HG25VHRnmbbBjefyh8QNeCqAGZQQ7VdLaNQaXYtHg3UukuWxSe9dkgbddK5iYbMqLRPo71Fic5TmBWaCrh,,,,,,
2025-10-16 13:31:19.476675+00:00,BTC-PERP,1,perp,CLOSE,,0.001,0.0,,,0.0,0.0,,,,,,,,,,,CLOSED_BY_BOT,,,,,,
2025-10-16 13:34:21.013941+00:00,BTC-PERP,1,perp,BUY,,110481.16501341148,0.0010503623829085,,,107840.23615071375,117523.6419806054,,,,,,,,,,,4LQAQmqcKGqNmWS2EVQiPHu5WSQnVxPpqCpVJdZaGnbqgxZJvMS3TGgHJW4gc3W86qg3cKco6ptQbXn3ykx4LLPM,,,,,,
